id,energy,water,sleep,fatigue,leisure,social,desire,place,action,money,food
116,0.367273,0.534663,0.510655,0,0.427124,0.520899,0.111721,3,wait,4,0
117,0.476969,0.434648,0.104326,0,0.401529,0.708941,0.142656,63,play,4,0
118,0.667174,0.460867,0.272811,0,0.617782,0.53635,0.156134,64,sleep,3,0
119,0.729107,0.686445,0.225666,0,0.660993,0.499689,0.261611,2,play,4,0
120,0.457752,0.753524,0.302277,0,0.802703,0.716066,0.231631,2,talk,5,0
121,0.469454,0.489017,0.491961,0.000365317,0.69583,0.712781,0.133047,0,move,4,0
122,0.469879,0.692101,0.182159,0,0.670487,0.501614,0.259399,2,play,3,0
123,0.445249,0.533946,0.450266,0,0.775748,0.639317,0.12601,2,talk,4,0
124,0.577222,0.585201,0.459363,0,0.641435,0.710655,0.268567,2,wait,3,0
125,0.455715,0.585877,0.450457,0,0.716084,0.710134,0.192226,2,play,4,0
126,0.750699,0.660701,0.362353,0,0.686703,0.660074,0.232338,4,move,5,0
127,0.691882,0.430232,0.391807,0,0.65029,0.712961,0.260594,68,sleep,3,0
